split,count,mean,std,median,p90,p95,p99,min,max
train,7818,27.282250344671372,19.463770943381164,24.33882531366222,47.48046865801477,56.3855209735801,107.01897285657127,0.0,179.18362691134226
val,899,27.899399708084317,21.541635722007566,24.36771523177359,48.885128247629815,57.367364110148415,124.9836623730131,0.0,178.21635403896437
test,1000,24.34389743914999,16.785510564465582,21.67312969251703,42.68141039647409,50.791867093842974,80.58634746318171,0.0,175.98780613305829
