split,count,mean,std,median,p90,p95,p99,min,max
train,7818,0.4534372065404624,0.5354395782078991,0.34604505996229257,0.8465915104071243,1.0134647832431039,2.213273095309787,0.0,10.716632451503534
val,899,0.4186057374916024,0.5065260474310367,0.293516842983998,0.8161844810202922,0.9544684513239963,2.063185741415116,0.0,5.503791429786069
test,1000,0.44087695547035305,0.3923511834683547,0.380251697040496,0.787992059039014,0.9222700605530225,1.3435351852214612,0.0,6.050052808915328
